id,max_temp,min_temp,min_temp_by_month,max_temp_by_month,meta
7066,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.160576001903194}}"
7067,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.1306485960852437}}"
7068,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.1240988795251465}}"
7069,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.1202231014683353}}"
7070,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.1192901287931263}}"
7071,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.122150336333409}}"
7072,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.1220546010882915}}"
7073,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.1208020298934045}}"
7074,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.114471312172388}}"
7075,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.1258610890648555}}"
7076,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.1110934465342788}}"
7077,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.0958086864024597}}"
7078,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.226032571639513}}"
7079,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.0867845552428297}}"
7080,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.0872560360434926}}"
7081,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.0934843156804335}}"
7082,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.104660602092415}}"
7083,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.0625389038755095}}"
7084,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.085180666033524}}"
7085,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.0847737527127537}}"
7086,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.0846575737995887}}"
7087,14.335,8.234,"[9.639, 8.234, 9.484, 8.757, 9.189, 8.52, 8.745, 8.517999999999999, 9.195, 9.076, 11.384, 10.077]","[9.957, 8.882, 9.809, 9.537, 12.004000000000001, 12.140999999999998, 13.515, 14.047, 14.335, 11.352, 11.503, 10.636]","{""source"": {""lat"": 47.5, ""lng"": -124.5, ""dist_euclid"": 2.0215959042301255}}"
